[Tue Oct 23 11:22:20.040277 2018] [:error] [pid 18737] [client 82.240.205.105:53505] PHP Warning:  readfile(archive/2018-BO.zip): failed to open stream: No such file or directory in /home/charles/bondecampe/zip.php on line 73, referer: http://bondecampe.5tfu.org/album/2018-BO.php
[Tue Oct 23 11:28:55.132669 2018] [:error] [pid 18959] [client 54.36.148.81:45982] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 11:28:55.133610 2018] [:error] [pid 18959] [client 54.36.148.81:45982] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 11:28:55.133815 2018] [:error] [pid 18959] [client 54.36.148.81:45982] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 11:35:47.909180 2018] [:error] [pid 19010] [client 54.36.149.54:59766] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 11:35:47.909700 2018] [:error] [pid 19010] [client 54.36.149.54:59766] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 11:35:47.909921 2018] [:error] [pid 19010] [client 54.36.149.54:59766] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 12:34:49.892321 2018] [:error] [pid 19024] [client 54.36.149.55:41826] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 12:34:49.893246 2018] [:error] [pid 19024] [client 54.36.149.55:41826] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 12:34:49.893450 2018] [:error] [pid 19024] [client 54.36.149.55:41826] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 13:31:04.087638 2018] [:error] [pid 19626] [client 207.46.13.19:25413] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 13:31:04.088669 2018] [:error] [pid 19626] [client 207.46.13.19:25413] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 13:31:04.088873 2018] [:error] [pid 19626] [client 207.46.13.19:25413] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 14:26:14.504070 2018] [:error] [pid 20797] [client 37.9.113.67:38513] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 14:26:14.505297 2018] [:error] [pid 20797] [client 37.9.113.67:38513] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 14:26:14.505528 2018] [:error] [pid 20797] [client 37.9.113.67:38513] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 14:26:20.689129 2018] [:error] [pid 19005] [client 178.154.171.53:40728] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 14:26:20.689647 2018] [:error] [pid 19005] [client 178.154.171.53:40728] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 14:26:20.689867 2018] [:error] [pid 19005] [client 178.154.171.53:40728] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 14:27:16.667596 2018] [:error] [pid 20273] [client 203.133.170.144:57537] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 14:27:16.668603 2018] [:error] [pid 20273] [client 203.133.170.144:57537] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 14:27:16.668849 2018] [:error] [pid 20273] [client 203.133.170.144:57537] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 16:33:35.640582 2018] [:error] [pid 20525] [client 54.198.55.167:59908] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 16:33:35.641470 2018] [:error] [pid 20525] [client 54.198.55.167:59908] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 16:33:35.641668 2018] [:error] [pid 20525] [client 54.198.55.167:59908] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 16:33:55.553774 2018] [:error] [pid 21100] [client 54.198.55.167:40046] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 16:33:55.554692 2018] [:error] [pid 21100] [client 54.198.55.167:40046] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 16:33:55.554902 2018] [:error] [pid 21100] [client 54.198.55.167:40046] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 17:11:29.914340 2018] [:error] [pid 21100] [client 54.198.55.167:56358] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 17:11:29.914648 2018] [:error] [pid 21100] [client 54.198.55.167:56358] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 17:11:29.914716 2018] [:error] [pid 21100] [client 54.198.55.167:56358] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 19:54:06.375453 2018] [:error] [pid 22556] [client 188.40.107.254:42526] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 19:54:06.376506 2018] [:error] [pid 22556] [client 188.40.107.254:42526] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 19:54:06.376722 2018] [:error] [pid 22556] [client 188.40.107.254:42526] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 20:00:18.030495 2018] [:error] [pid 22596] [client 107.150.59.98:51902] PHP Fatal error:  Uncaught RuntimeException: Directory name must not be empty. in /home/charles/bondecampe/zip.php:41\nStack trace:\n#0 /home/charles/bondecampe/zip.php(41): RecursiveDirectoryIterator->__construct('')\n#1 {main}\n  thrown in /home/charles/bondecampe/zip.php on line 41
[Tue Oct 23 20:00:18.030644 2018] [:error] [pid 22596] [client 107.150.59.98:51902] PHP Warning:  Unknown: Cannot destroy the zip context: Can't remove file: No such file or directory in Unknown on line 0
